Team,Strength,Wins,Losses,Average Points Scored,Average Points Allowed,Home Wins,Home Losses,Away Wins,Away Losses
Abilene Christian,1,27,6,74,63,17,2,10,4
Arizona St,8,22,10,77,73,16,5,6,5
Auburn,14,26,9,79,68,22,3,4,6
Baylor,14,19,13,71,67,14,7,5,6
Belmont,3,26,5,87,73,14,2,12,3
Bradley,0,20,14,66,64,15,6,5,8
Buffalo,2,31,3,84,70,19,,12,3
Cincinnati,11,28,6,71,62,21,2,7,4
Colgate,1,24,10,75,70,15,1,9,9
Duke,18,29,5,83,67,22,3,7,2
Fairleigh Dickinson,0,20,13,75,71,13,4,7,9
Florida St,14,27,7,74,67,21,3,6,4
Florida,14,19,15,68,63,15,9,4,6
Gardner-Webb,2,23,11,78,70,15,2,8,9
Georgia St,3,24,9,77,72,18,2,6,7
Gonzaga,8,30,3,88,65,21,2,9,1
Houston,11,31,3,75,61,21,2,10,1
Iona,2,17,15,76,75,11,6,6,9
Iowa St,16,23,11,77,68,18,5,5,6
Iowa,13,22,11,78,73,18,5,4,6
Kansas St,13,25,8,65,59,18,3,7,5
Kansas,20,25,9,75,70,22,1,3,8
Kentucky,16,27,6,76,65,19,4,8,2
Liberty,1,28,6,74,60,17,3,11,3
Louisville,15,20,13,74,67,15,7,5,6
LSU,11,26,6,81,73,17,5,9,1
Marquette,13,24,9,77,69,18,5,6,4
Maryland,14,22,10,71,65,16,5,6,5
Michigan St,17,28,6,78,65,20,2,8,4
Michigan,16,28,6,70,58,21,2,7,4
Minnesota,14,21,13,70,69,19,4,2,9
Mississippi St,14,23,10,77,70,18,5,5,5
Montana,3,26,8,76,68,17,3,9,5
Murray St,4,27,4,83,67,17,1,10,3
NC Central,2,18,15,71,66,14,3,4,12
Nevada,3,29,4,80,66,20,1,9,3
New Mexico St,3,30,4,78,64,20,2,10,2
North Carolina,14,27,6,86,72,16,5,11,1
North Dakota St,4,18,15,73,72,14,6,4,9
Northeastern,3,23,10,76,70,15,4,8,6
Northern Ky,2,26,8,79,68,19,1,7,7
Ohio St,14,19,14,69,66,14,7,5,7
Oklahoma,13,19,13,71,68,14,6,5,7
Old Dominion,2,26,8,66,60,18,4,8,4
Ole Miss,11,20,12,75,70,14,7,6,5
Oregon,10,23,12,70,62,18,5,5,7
Prairie View,2,22,12,75,72,13,,9,12
Purdue,15,23,9,76,66,17,3,6,6
Saint Louis,5,23,12,67,63,19,4,4,8
Saint Mary's (CA),8,22,11,72,64,17,6,5,5
Seton Hall,12,20,13,73,71,17,5,3,8
St John's (NY),9,21,12,77,74,17,4,4,8
Syracuse,14,20,13,69,65,14,9,6,4
Temple,7,23,9,74,71,15,4,8,5
Tennessee,14,29,5,81,68,23,2,6,3
Texas Tech,12,26,6,73,59,20,3,6,3
UC Irvine,3,30,5,72,63,17,3,13,2
UCF,7,23,8,72,64,18,3,5,5
Utah St,6,28,6,79,66,19,2,9,4
VCU,7,25,7,71,61,17,3,8,4
Vermont,4,27,6,73,62,16,2,11,4
Villanova,11,25,9,74,67,20,3,5,6
Virginia Tech,12,24,8,74,62,19,3,5,5
Virginia,13,29,3,71,55,19,2,10,1
Washington,8,26,8,69,64,19,4,7,4
Wisconsin,15,23,10,69,61,15,5,8,5
Wofford,4,29,4,83,65,18,1,11,3
Yale,3,22,7,81,73,13,2,9,5
